,eng,tok
0,the story of king frost,jan lawa lete

1,andrew lang,jan mali

2,there was once upon a time a peasantwoman who had a daughter and a stepdaughter,meli ike pi mani ala li jo e meli lili tu

3,the daughter had her own way in everything,ona li pana e ijo mute tawa meli lili ona

4,and whatever she did was right in her mother’s eyes but the poor stepdaughter had a hard time let her do what she would she was always blamed,taso ona li pana e ike taso tawa meli lili pi jan ante ona li pilin e ni meli ona li pona

5,and got small thanks for all the trouble she took,

6,nothing was right everything wrong,meli pi jan ante li ike li pali e ike ale

7,and yet if the truth were known the girl was worth her weight in goldshe was so unselfish and goodhearted,

8,but her stepmother did not like her and the poor girl’s days were spent in weeping,tenpo mute la meli lili pi jan ante li ike pilin oko ona li telo li loje

9,for it was impossible to live peacefully with the woman,

10,the wicked shrew was determined to get rid of the girl by fair means or foul,mama meli li ike kin

11,and kept saying to her father,mama meli li toki e ni tawa mama mije pi meli lili

12,send her away old man send her away,jan pi sin ala o weka e ona

13,anywhere so that my eyes sha’n’t be plagued any longer by the sight of her,mi wile ala lukin e ona

14,or my ears tormented by the sound of her voice,li wile ala kute e toki ona

15,send her out into the fields,o weka e ona tan tomo ni

16,and let the cutting frost do for her,

17,in vain did the poor old father weep and implore her pity,mama mije li wile awen e meli lili ona

18,she was firm,taso meli ike li wile wawa weka e ona

19,and he dared not gainsay her,mije li ken ala toki utala tawa meli ona la

20,so he placed his daughter in a sledge not even daring to give her a horsecloth to keep herself warm with and drove her out on to the bare open fields where he kissed her and left her driving home as fast as he could that he might not witness her miserable death,ona li pana e meli lili ona tawa poki tawa li tawa ma suli mije li weka e meli lili ona lon ni li pana ala e len seli tawa ona ona li uta lili e meli lili ona li tawa weka oko ona li telo taso ona li lukin monsi ala

21,deserted by her father the poor girl sat down under a firtree at the edge of the forest and began to weep silently,meli lili li tawa selo pi ma kasi li anpa lon poka kasi li telo tan oko

22,suddenly she heard a faint sound,ona li lukin sewi tan kalama

23,it was king frost,ona li lukin e jan lawa lete

24,springing from tree to tree,jan lawa lete li tawa sewi pi kasi wan li tawa sewi pi kasi ante

25,and cracking his fingers as he went,

26,at length he reached the firtree beneath which she was sitting,ona li lon kasi pi meli lili la

27,and with a crisp crackling sound he alighted beside her and looked at her lovely face,ona li anpa ona li kama e lete lon sinpin pi meli lili li toki e ni

28,well maiden he snapped out do you know who i am,sina sona ala sona e mi

29,i am king frost king of the rednoses,mi jan lawa lete

30,all hail to you great king answered the girl,meli lili li toki e ni jan lawa wawa o sina pona

31,in a gentle trembling voice,uta ona li lupa lukin

32,have you come to take me,sina tawa ala tawa e mi

33,are you warm maiden he replied,jan lawa lete li toki e ni meli pona o sina seli ala seli

34,quite warm king frost she answered,meli lili li toki e ni seli jan lawa lete o mi seli mute

35,though she shivered as she spoke,taso selo ona li tawa lili

36,then king frost stooped down and bent over the girl and the crackling sound grew louder,jan lawa lete li kama e lete lon poka ona

37,and the air seemed to be full of knives and darts,kon li lete mute

38,and again he asked,ona li toki sin e ni

39,maiden are you warm are you warm you beautiful girl,meli pona o sina seli ala seli

40,and though her breath was almost frozen on her lips,uta pi meli lili li ken ala tawa suli

41,she whispered gently quite warm king frost,ona li toki e ni jan lawa lete o mi seli

42,then king frost gnashed his teeth and cracked his fingers and his eyes sparkled and the crackling crisp sound was louder than ever,jan lawa lete li kama e lete suli wawa kon li lete mute kin oko ona li suno musi

43,and for the last time he asked her,ona li toki e ni

44,maiden are you still warm,meli pona o sina seli ala seli

45,are you still warm little love,tenpo ni la sina awen ala awen seli

46,and the poor girl was so stiff and numb,meli lili li ken ala toki mute tan lete

47,that she could just gasp,taso ona li kama jo e kon lili li toki e ni

48,still warm o king,jan lawa lete o mi awen seli

49,now her gentle courteous words and her uncomplaining ways touched king frost,meli lili li awen pona li toki utala ala

