﻿Translation,original,final,"jan Ke Tami"
Title,"THE TAILOR OF GLOUCESTER",
Author/copyright,"BEATRIX POTTER (public domain)",
Link,https://en.wikisource.org/wiki/The_Tailor_of_Gloucester,
"CW notes",,
"Translation notes","This will be a block-by-block translation",
"Text notes",,
randomized,no,
Predefine,"Gloucester (town)","ma tomo Kota~~~~jan Ke Tami","ma tomo Kota"
Predefine,"Westgate Street (street)","nasin Lupawese~~~~jan Ke Tami","nasin Lupawese"
Predefine,"Simpkin (cat)","soweli Sinkin~~~~jan Ke Tami","soweli Sinkin"
"Text start","THE TAILOR OF GLOUCESTER","jan pi pali len tan ma tomo Kota~~~~jan Ke Tami","jan pi pali len tan ma tomo Kota"
,"IN the time of swords and periwigs and full-skirted coats with flowered lappets—when gentlemen wore ruffles, and gold-laced waistcoats of paduasoy and taffeta—there lived a tailor in Gloucester.","tenpo pi toki ni la, jan li jo e palisa utala kiwen, li len e lawa kepeken linja len suli, li len kepeken len suli pi namako pona mute, li len kepeken len pi linja sike mute, li len kepeken len pi sijelo sewi taso, li len kepeken len suno. tenpo pi toki ni la, jan pi pali len li lon ma tomo Kota.~~~~jan Ke Tami","tenpo pi toki ni la, jan li jo e palisa utala kiwen, li len e lawa kepeken linja len suli, li len kepeken len suli pi namako pona mute, li len kepeken len pi linja sike mute, li len kepeken len pi sijelo sewi taso, li len kepeken len suno. tenpo pi toki ni la, jan pi pali len li lon ma tomo Kota."
,"He sat in the window of a little shop in Westgate Street, cross-legged on a table from morning till dark.","ona li lape e monsi ona lon poka pi lupa lukin, lon tomo pi pali len, lon nasin Lupawese. ona li nasin e noka ona kepeken nasin ante, li awen lon supa pali lon ale pi tenpo suno.~~~~jan Ke Tami","ona li lape e monsi ona lon poka pi lupa lukin, lon tomo pi pali len, lon nasin Lupawese. ona li nasin e noka ona kepeken nasin ante, li awen lon supa pali lon ale pi tenpo suno."
,"All day long while the light lasted he sewed and snippetted, piecing out his satin, and pompadour, and lutestring; stuffs had strange names, and were very expensive in the days of the Tailor of Gloucester.","suno li lon la, ona li pali len, li tu e len, li wan e len. ona li pali e len suno, e  len pi namako mute mute. len ale ni li nasa, taso ona li suli tawa jan pi tenpo ni, li mani mute.~~~~jan Ke Tami","suno li lon la, ona li pali len, li tu e len, li wan e len. ona li pali e len suno, e  len pi namako mute mute. len ale ni li nasa, taso ona li suli tawa jan pi tenpo ni, li mani mute."
,"But although he sewed fine silk for his neighbours, he himself was very, very poor—a little old man in spectacles, with a pinched face, old crooked fingers, and a suit of threadbare clothes.","taso jan pali li pali mute e len ni tawa jan ante la, ona li jo e mani pi lili mute. ona li lon tenpo mute, li wile kepeken ilo lukin. sinpin ona li ante tan tenpo. palisa luka ona li ante tan pali mute. len ona li kama wawa ala.~~~~jan Ke Tami","taso jan pali li pali mute e len ni tawa jan ante la, ona li jo e mani pi lili mute. ona li lon tenpo mute, li wile kepeken ilo lukin. sinpin ona li ante tan tenpo. palisa luka ona li ante tan pali mute. len ona li kama wawa ala."
,"He cut his coats without waste; according to his embroidered cloth, they were very small ends and snippets that lay about upon the table—""Too narrow breadths for nought—except waistcoats for mice,"" said the tailor.","jan pali li tu e len tawa ona taso la, ona li wile weka ala e len, li weka e len lili taso. len lili ni li lon supa pali la, ona li toki e ni: ""len ni li lili taso. mi ken ala kepeken ona. ni li pona tawa soweli pi lili mute taso.""~~~~jan Ke Tami","jan pali li tu e len tawa ona taso la, ona li wile weka ala e len, li weka e len lili taso. len lili ni li lon supa pali la, ona li toki e ni: ""len ni li lili taso. mi ken ala kepeken ona. ni li pona tawa soweli pi lili mute taso."""
,"One bitter cold day near Christmas-time the tailor began to make a coat (a coat of cherry-coloured corded silk embroidered with pansies and roses) and a cream-coloured satin waistcoat (trimmed with gauze and green worsted chenille) for the Mayor of Gloucester.","tenpo lete suli la, tenpo sewi li lon tenpo kama. jan pali li pali e len pi awen seli. (len ni li loje kili. linja ona li suno lili. kasi pi lipu kule li sitelen lon ona.) jan li pali e len pi sijelo sewi tan len pi walo jelo. (ko len walo en len ko pi laso kasi li lon pini pi lupa ona.) jan pali li pali e ni tawa jan lawa pi ma tomo Kota.~~~~jan Ke Tami","tenpo lete suli la, tenpo sewi li lon tenpo kama. jan pali li pali e len pi awen seli. (len ni li loje kili. linja ona li suno lili. kasi pi lipu kule li sitelen lon ona.) jan li pali e len pi sijelo sewi tan len pi walo jelo. (ko len walo en len ko pi laso kasi li lon pini pi lupa ona.) jan pali li pali e ni tawa jan lawa pi ma tomo Kota."
,"The tailor worked and worked, and he talked to himself. He measured the silk, and turned it round and round, and trimmed it into shape with his shears; the table was all littered with cherry-coloured snippets.","jan pali li pali, li pali la, ona li toki, taso toki ni li tawa ona taso. ona li lukin e suli len, li tawa e len lon nasin sike, lon nasin sike, li tu e len kepeken ilo. supa pali ona la, lili len loje mute li lon.~~~~jan Ke Tami","jan pali li pali, li pali la, ona li toki, taso toki ni li tawa ona taso. ona li lukin e suli len, li tawa e len lon nasin sike, lon nasin sike, li tu e len kepeken ilo. supa pali ona la, lili len loje mute li lon."
,"No breadth at all, and cut on the cross; it is no breadth at all; tippets for mice and ribbons for mobs! for mice! said the Tailor of Gloucester.","jan pali len pi ma Kota li toki e ni: ""suli len li lili a; mi tu e linja; suli len li lili taso; li pona tawa soweli pi lili mute taso""~~~~jan Ke Tami","jan pali len pi ma Kota li toki e ni: ""suli len li lili a; mi tu e linja; suli len li lili taso; li pona tawa soweli pi lili mute taso"""
,"When the snow-flakes came down against the small leaded window-panes and shut out the light, the tailor had done his day's work; all the silk and satin lay cut out upon the table.","ko lete walo li kama tan sewi, li len e lupa lukin, li len e suno tan lupa la, jan pali li pini e pali. len pi pali pini li lon supa pali.~~~~jan Ke Tami","ko lete walo li kama tan sewi, li len e lupa lukin, li len e suno tan lupa la, jan pali li pini e pali. len pi pali pini li lon supa pali."
,"There were twelve pieces for the coat and four pieces for the waistcoat; and there were pocket-flaps and cuffs and buttons, all in order. For the lining of the coat there was fine yellow taffeta, and for the buttonholes of the waistcoat there was cherry-coloured twist. And everything was ready to sew together in the morning, all measured and sufficient—except that there was wanting just one single skein of cherry-coloured twisted silk.","len lili luka luka tu li tawa len pi awen seli. len lili tu tu li tawa len pi sijelo sewi. len lipu pi poki pini en len namako pi luka pini en kiwen pi len awen li lon, li pona. len awen la, poka insa li jelo pona suno. len sijelo la, linja selo pi loje kili li lon lupa pi awen pini. ale li pona tawa pali pi tenpo suno kama la jan pali li ken wan e len — taso ijo wan li lon ala: linja loje li lili taso.~~~~jan Ke Tami","len lili luka luka tu li tawa len pi awen seli. len lili tu tu li tawa len pi sijelo sewi. len lipu pi poki pini en len namako pi luka pini en kiwen pi len awen li lon, li pona. len awen la, poka insa li jelo pona suno. len sijelo la, linja selo pi loje kili li lon lupa pi awen pini. ale li pona tawa pali pi tenpo suno kama la jan pali li ken wan e len — taso ijo wan li lon ala: linja loje li lili taso."
,"The tailor came out of his shop at dark, for he did not sleep there at nights; he fastened the window and locked the door, and took away the key. No one lived there at nights but little brown mice, and they ran in and out without any keys!","jan pi pali len li kama weka tan esun ona lon tenpo pimeja. ona li lape ala lon esun. ona li pini e lupa ale, li awen e ilo open. jan ala li lon tomo lon tenpo pimeja. soweli pi lili mute li lon, taso ona li kepeken ala ilo open.~~~~jan Ke Tami","jan pi pali len li kama weka tan esun ona lon tenpo pimeja. ona li lape ala lon esun. ona li pini e lupa ale, li awen e ilo open. jan ala li lon tomo lon tenpo pimeja. soweli pi lili mute li lon, taso ona li kepeken ala ilo open."
,"For behind the wooden wainscots of all the old houses in Gloucester, there are little mouse staircases and secret trap-doors; and the mice run from house to house through those long, narrow passages; they can run all over the town without going into the streets.","tomo ale pi ma Kota la, ijo li lon insa sinpin. sona ala la, nasin lili pi tawa sewi en lupa lili li lon. soweli pi lili mute li kepeken ona, li ken tawa ale pi ma tomo, li ken awen lon insa kepeken nasin ala pi insa ala.~~~~jan Ke Tami","tomo ale pi ma Kota la, ijo li lon insa sinpin. sona ala la, nasin lili pi tawa sewi en lupa lili li lon. soweli pi lili mute li kepeken ona, li ken tawa ale pi ma tomo, li ken awen lon insa kepeken nasin ala pi insa ala."
,"But the tailor came out of his shop and shuffled home through the snow; he lived quite near by in College Court, next the doorway to College Green. And although it was not a big house, the tailor was so poor he only rented the kitchen.","a. jan pi pali len li kama weka tan esun ona, li tawa lon lete ko walo, li tawa tomo ona. tomo lape ona li lon nasin Masona, li lon poka pi ma kasi Petasona. tomo li tomo suli ala. taso jan pali li jo e mani lili taso la, ona li ken pana e mani tawa tomo moku taso, li awen lon ni taso.~~~~jan Ke Tami","a. jan pi pali len li kama weka tan esun ona, li tawa lon lete ko walo, li tawa tomo ona. tomo lape ona li lon nasin Masona, li lon poka pi ma kasi Petasona. tomo li tomo suli ala. taso jan pali li jo e mani lili taso la, ona li ken pana e mani tawa tomo moku taso, li awen lon ni taso."
,"He lived alone with his cat; it was called Simpkin.","ona li lon tomo la, soweli ona pi kalama noka ala li lon. nimi soweli li Sinkin.~~~~jan Ke Tami","ona li lon tomo la, soweli ona pi kalama noka ala li lon. nimi soweli li Sinkin."
,"Now all day long while the tailor was out at work, Simpkin kept house by himself; and he also was fond of the mice, though he gave them no satin for coats!","jan pali li weka, li pali lon ale pi tenpo suno la, soweli Sinkin li wan taso lon tomo. soweli pi lili mute li pona tawa ona. taso ona li pana ala e len pona tawa soweli lili.~~~~jan Ke Tami","jan pali li weka, li pali lon ale pi tenpo suno la, soweli Sinkin li wan taso lon tomo. soweli pi lili mute li pona tawa ona. taso ona li pana ala e len pona tawa soweli lili."
,"Miaw? said the cat when the tailor opened the door, ""miaw?""","jan pali li open e lupa, li kama insa la, soweli li wile sona e ni: mu?~~~~jan Ke Tami","jan pali li open e lupa, li kama insa la, soweli li wile sona e ni: mu?"
,"The tailor replied: ""Simpkin, we shall make our fortune, but I am worn to a ravelling. Take this groat (which is our last fourpence), and, Simpkin, take a china pipkin, buy a penn'orth of bread, a penn'orth of milk, and a penn'orth of sausages. And oh, Simpkin, with the last penny of our fourpence buy me one penn'orth of cherry-coloured silk. But do not lose the last penny of the fourpence, Simpkin, or I am undone and worn to a thread-paper, for I have no more twist.""","jan pali li toki e ni: ""soweli Sinkin o, mi kama jo e mani mute lon tenpo, taso wawa mi li lili sama linja lili. mi pana e mani lili ni. ona li mani mi nanpa pini. soweli Sinkin o, kepeken ona. o kepeken poki kiwen. mani ni la, o esun e pan wan, e telo walo wan tan soweli mani, e moku palisa ko soweli. mani li kama ala pini tan ni la, o esun linja loje tawa pali len mi kepeken mani pini. o weka ala e mani pini ni a, soweli Sinkin o. mani li kama weka la, mi kama weka kin, mi kama anpa tan weka pi linja loje.~~~~jan Ke Tami","jan pali li toki e ni: ""soweli Sinkin o, mi kama jo e mani mute lon tenpo, taso wawa mi li lili sama linja lili. mi pana e mani lili ni. ona li mani mi nanpa pini. soweli Sinkin o, kepeken ona. o kepeken poki kiwen. mani ni la, o esun e pan wan, e telo walo wan tan soweli mani, e moku palisa ko soweli. mani li kama ala pini tan ni la, o esun linja loje tawa pali len mi kepeken mani pini. o weka ala e mani pini ni a, soweli Sinkin o. mani li kama weka la, mi kama weka kin, mi kama anpa tan weka pi linja loje."
,"Then Simpkin again said ""Miaw!"" and took the groat and the pipkin, and went out into the dark.","soweli Sinkin li mu sin, li jo e mani e poki, li tawa ma lon pimeja.~~~~jan Ke Tami","soweli Sinkin li mu sin, li jo e mani e poki, li tawa ma lon pimeja."
,"The tailor was very tired and beginning to be ill. He sat down by the hearth and talked to himself about that wonderful coat.","jan pali li pilin lape mute. sijelo ona li kama nasa; ona li pilin nasa. ona li tawa poka pi poki seli, li toki e len pi pali ona tawa ona taso.~~~~jan Ke Tami","jan pali li pilin lape mute. sijelo ona li kama nasa; ona li pilin nasa. ona li tawa poka pi poki seli, li toki e len pi pali ona tawa ona taso."
,"I shall make my fortune—to be cut bias—the Mayor of Gloucester is to be married on Christmas Day in the morning, and he hath ordered a coat and an embroidered waistcoat—to be lined with yellow taffeta—and the taffeta sufficeth; there is no more left over in snippets than will serve to make tippets for mice——","mani mute o kama tawa mi. len o selo lon sijelo sama selo sijelo. jan lawa pi ma tomo Kota en olin ona li kama wan lon tenpo suno sewi. ona li toki e wile ona la ona li wile e len pi awen seli, e len pi sijelo sewi kepeken linja namako — kepeken len suno jelo kin. mute pi len suno ni li pona; mi ken ala kepeken len suno lili, mi ken kepeken ona tawa soweli pi lili mute a taso——~~~~jan Ke Tami","mani mute o kama tawa mi. len o selo lon sijelo sama selo sijelo. jan lawa pi ma tomo Kota en olin ona li kama wan lon tenpo suno sewi. ona li toki e wile ona la ona li wile e len pi awen seli, e len pi sijelo sewi kepeken linja namako — kepeken len suno jelo kin. mute pi len suno ni li pona; mi ken ala kepeken len suno lili, mi ken kepeken ona tawa soweli pi lili mute a taso——"
,"Then the tailor started; for suddenly, interrupting him, from the dresser at the other side of the kitchen came a number of little noises—","lon tenpo ni a la ona li tawa sewi kepeken wawa tan ni: kalama lili li kama tan supa poki lon poka ante tomo—~~~~jan Ke Tami","lon tenpo ni a la ona li tawa sewi kepeken wawa tan ni: kalama lili li kama tan supa poki lon poka ante tomo—"
,"Tip tap, tip tap, tip tap tip!","Noka-Noka-Noka-Noka Lili a!~~~~jan Ke Tami","Noka-Noka-Noka-Noka Lili a!"
,"Now what can that be? said the Tailor of Gloucester, jumping up from his chair. The dresser was covered with crockery and pipkins, willow pattern plates, and tea-cups and mugs.","jan pi pali len li toki e ni: aa, ni li seme? ona li tawa sewi tan supa ona. ilo moku en poki moku en pki telo en kiwen supa moku li lon supa poki.~~~~jan Ke Tami","jan pi pali len li toki e ni: aa, ni li seme? ona li tawa sewi tan supa ona. ilo moku en poki moku en pki telo en kiwen supa moku li lon supa poki."
,"The tailor crossed the kitchen, and stood quite still beside the dresser, listening, and peering through his spectacles. Again from under a teacup came those funny little noises—","jan pali li tawa supa poki, li awen lon poka ona, li kute, li lukin kepeken ilo oko ona. sin la, kalama musi ni li tan poki telo wan—~~~~jan Ke Tami","jan pali li tawa supa poki, li awen lon poka ona, li kute, li lukin kepeken ilo oko ona. sin la, kalama musi ni li tan poki telo wan—"
,"Tip tap, tip tap, tip tap tip!","Noka-Noka-Noka-Noka Lili a!~~~~jan Ke Tami","Noka-Noka-Noka-Noka Lili a!"
,"This is very peculiar, said the Tailor of Gloucester, and he lifted up the tea-cup which was upside down.","jan pali li toki e ni: ni li nasa a. ona li sewi e poki telo.~~~~jan Ke Tami","jan pali li toki e ni: ni li nasa a. ona li sewi e poki telo."
,"Out stepped a little live lady mouse, and made a courtesy to the tailor! Then she hopped away down off the dresser, and under the wainscot.","soweli pi lili mute li kama tan anpa poki. ona li anpa lili sama pona toki tawa jan pali. ona li tawa weka tan supa poki, li tawa anpa sinpin.~~~~jan Ke Tami","soweli pi lili mute li kama tan anpa poki. ona li anpa lili sama pona toki tawa jan pali. ona li tawa weka tan supa poki, li tawa anpa sinpin."
,"The tailor sat down again by the fire, warming his poor cold hands, and mumbling to himself:—","jan li tawa sin lon poka seli, li seli e luka ona, li toki tawa ona taso:—~~~~jan Ke Tami","jan li tawa sin lon poka seli, li seli e luka ona, li toki tawa ona taso:—"
,"The waistcoat is cut out from peach-coloured satin—tambour stitch and rose-buds in beautiful floss silk! Was I wise to entrust my last fourpence to Simpkin? One-and-twenty buttonholes of cherry-coloured twist!","a, len pali li tan len suno loje, kepeken linja sitelen sama kasi kule, kepeken linja ko! a, mi pana e mani pini mi tawa soweli Sinkin la, ni li pona ala pona? a, kiwen len li kepeken linja loje!~~~~jan Ke Tami","a, len pali li tan len suno loje, kepeken linja sitelen sama kasi kule, kepeken linja ko! a, mi pana e mani pini mi tawa soweli Sinkin la, ni li pona ala pona? a, kiwen len li kepeken linja loje!"
,"But all at once, from the dresser, there came other little noises—","taso tenpo ni la, kalama lili ante li kama tan supa poki~~~~jan Ke Tami","taso tenpo ni la, kalama lili ante li kama tan supa poki"
,"Tip tap, tip tap, tip tap tip!","Noka-Noka-Noka-Noka Lili a!~~~~jan Ke Tami","Noka-Noka-Noka-Noka Lili a!"
,"This is passing extraordinary! aid the Tailor of Gloucester, and turned over another tea-cup, which was upside down.","ja pali li pilin e ni: ni li kama nasa a! ona li sewi e poki telo ante.~~~~jan Ke Tami","ja pali li pilin e ni: ni li kama nasa a! ona li sewi e poki telo ante."
,"Out stepped a little gentleman mouse, and made a bow to the tailor!","soweli mije pi lili mute li kama tan anpa poki, li anpa lili sama pona toki tawa jan pali!~~~~jan Ke Tami","soweli mije pi lili mute li kama tan anpa poki, li anpa lili sama pona toki tawa jan pali!"
,"And then from all over the dresser came a chorus of little tappings, all sounding together, and answering one another, like watch-beetles in an old worm-eaten window-shutter—","ni la, kalama mute pi noka mute pi li kama, li kama tan ale pi supa poki, li kama kalama kulupu, li kalama sama toki kulupu, li kalama mute.~~~~jan Ke Tami","ni la, kalama mute pi noka mute pi li kama, li kama tan ale pi supa poki, li kama kalama kulupu, li kalama sama toki kulupu, li kalama mute."
,"Tip tap, tip tap, tip tap tip!","Noka-Noka-Noka-Noka Lili a!~~~~jan Ke Tami","Noka-Noka-Noka-Noka Lili a!"
,"And out from under tea-cups and from under bowls and basins, stepped other and more little mice, who hopped away down off the dresser and under the wainscot.","tan anpa pi poki lili la, tan poki telo la, tan poki moku la, tan poku supa la, soweli mute pi lili mute li kama, li tawa weka, li tawa anpa sinpin.~~~~jan Ke Tami","tan anpa pi poki lili la, tan poki telo la, tan poki moku la, tan poku supa la, soweli mute pi lili mute li kama, li tawa weka, li tawa anpa sinpin."
,"The tailor sat down, close over the fire, lamenting: ""One-and-twenty buttonholes of cherry-coloured silk! To be finished by noon of Saturday: and this is Tuesday evening. Was it right to let loose those mice, undoubtedly the property of Simpkin? Alack, I am undone, for I have no more twist!""","jan pali li kama anpa lon poka seli, li toki e pilin ike ona: ""kiwen len mute wan o lon, o kepeken linja loje a! ona o kama pini lon pini pi tenpo suno nanpa luka wan. a, tenpo ni li pini pi tenpo suno nanpa tu. mi ken e weka pi soweli lili ni la, ni li nasin ala nasin? pilin la, soweli Sinkin li lawa e ona. ike a, mi kama anpa, mi kama pini, tan ni: linja len loje li lon ala a.""~~~~jan Ke Tami","jan pali li kama anpa lon poka seli, li toki e pilin ike ona: ""kiwen len mute wan o lon, o kepeken linja loje a! ona o kama pini lon pini pi tenpo suno nanpa luka wan. a, tenpo ni li pini pi tenpo suno nanpa tu. mi ken e weka pi soweli lili ni la, ni li nasin ala nasin? pilin la, soweli Sinkin li lawa e ona. ike a, mi kama anpa, mi kama pini, tan ni: linja len loje li lon ala a."""
,"The little mice came out again and listened to the tailor; they took notice of the pattern of that wonderful coat. They whispered to one another about the taffeta lining and about little mouse tippets.","soweli pi lili mute li kama sin, li kute e toki pi jan pali. ona li lukin e pona pi pali jan, e pona len. ona li toki kulupu, li toki e len suno jelo pona, e linja namako, e len lili tawa pona pi soweli lili.~~~~jan Ke Tami","soweli pi lili mute li kama sin, li kute e toki pi jan pali. ona li lukin e pona pi pali jan, e pona len. ona li toki kulupu, li toki e len suno jelo pona, e linja namako, e len lili tawa pona pi soweli lili."
,"And then suddenly they all ran away together down the passage behind the wainscot, squeaking and calling to one another as they ran from house to house; and not one mouse was left in the tailor's kitchen when Simpkin came back with the pipkin of milk!","wawa la, ona li tawa weka kepeken wawa, li tawa anpa sinpin, li lon nasin pi insa sinpin. ona li mu lili, li wile tawa kulupu, li kama weka tan tomo. soweli Sinkin li jo e moku, li kama sin lon tomo jan la, soweli lili ala a li awen lon tomo.~~~~jan Ke Tami","wawa la, ona li tawa weka kepeken wawa, li tawa anpa sinpin, li lon nasin pi insa sinpin. ona li mu lili, li wile tawa kulupu, li kama weka tan tomo. soweli Sinkin li jo e moku, li kama sin lon tomo jan la, soweli lili ala a li awen lon tomo."
,"Simpkin opened the door and bounced in, with an angry ""G-r-r-miaw!"" like a cat that is vexed; for he hated the snow, and there was snow in his ears, and snow in his collar at the back of his neck. He put down the loaf and the sausages upon the dresser, and sniffed.","soweli Sinkin li open e luka, li tawa insa, li mu e mu pi pilin ike. ona li pilin ike tan lete. ko walo lete li lon, li lon kute ona, li lon sewi ona, li lon insa pi len nimi ona. ona li pana e moku tawa supa, li pilin e kon kepeken nena.~~~~jan Ke Tami","soweli Sinkin li open e luka, li tawa insa, li mu e mu pi pilin ike. ona li pilin ike tan lete. ko walo lete li lon, li lon kute ona, li lon sewi ona, li lon insa pi len nimi ona. ona li pana e moku tawa supa, li pilin e kon kepeken nena."
,"Simpkin, said the tailor, ""where is my twist?""","jan pali li toki tawa ona: ""soweli Sinkin o, linja loje mi li lon seme?""~~~~jan Ke Tami","jan pali li toki tawa ona: ""soweli Sinkin o, linja loje mi li lon seme?"""
