﻿﻿Translation,original,final,"jan Ke Tami"
Title,"THE TALE OF BENJAMIN BUNNY",
Author/copyright,"BEATRIX POTTER (public domain)",
Link,https://en.wikisource.org/wiki/The_Tale_of_Benjamin_Bunny,
"CW notes",,
"Translation notes","This will be a block-by-block translation",
"Text notes",,
randomized,no,
Predefine,"Benjamin Bunny (rabbit)","soweli Penjamin~~~~jan Ke Tami","soweli Penjamin"
Predefine,"Peter (rabbit)","soweli Pita~~~~jan Ke Tami","soweli Pita"
Predefine,"Mr. McGregor (human)","jan mije Mekeke~~~~jan Ke Tami","jan mije Mekeke"
Predefine,"Flopsy (rabbit)","soweli Lawako~~~~jan Ke Tami","soweli Lawako"
Predefine,"Mopsy (rabbit)","soweli Sikeko~~~~jan Ke Tami","soweli Sikeko"
Predefine,"Cotton-tail (rabbit)","soweli Monsiko~~~~jan Ke Tami","soweli Monsiko"
Predefine,"Mrs. Rabbit (rabbit)","soweli mama~~~~jan Ke Tami","soweli mama"
Predefine,"old Mr. Benjamin Bunny (rabbit)","soweli mama Penjakin~~~~jan Ke Tami","soweli mama Penjakin"
"Text start","THE TALE OF BENJAMIN BUNNY","soweli Penjamin~~~~jan Ke Tami","soweli Penjamin"
,"ONE morning a little rabbit sat on a bank.","tenpo suno wan li open la, soweli lili pi kute suli li awen lon supa monsi.~~~~jan Ke Tami","tenpo suno wan li open la, soweli lili pi kute suli li awen lon supa monsi."
,"He pricked his ears and listened to the trit-trot, trit-trot of a pony.","ona li sewi e kute ona, lu kute e tawa noka noka a tan soweli suli tawa. ~~~~jan Ke Tami","ona li sewi e kute ona, lu kute e tawa noka noka a tan soweli suli tawa. "
,"A gig was coming along the road; it was driven by Mr. McGregor, and beside him sat Mrs. McGregor in her best bonnet.","poki tawa li kama lon nasin. jan Mekeke li lawa e ona. meli ona li lon poka ona, li jo e len lawa seli pona a.~~~~jan Ke Tami","poki tawa li kama lon nasin. jan Mekeke li lawa e ona. meli ona li lon poka ona, li jo e len lawa seli pona a."
,"AS soon as they had passed, little Benjamin Bunny slid down into the road, and set off–with a hop, skip and a jump–to call upon his relations, who lived in the wood at the back of Mr. McGregor's garden.","ona li tawa, li tawa weka la, soweli lili Penjamin li tawa lon nasin–li tawa noka, li tawa noka–li wile tawa kulupu pi soweli sama ona. kulupu li lon ma pi kasi suli, li lon monsi pi ma kasi moku. ma kasi moku li ma pi jan Mekeke.~~~~jan Ke Tami","ona li tawa, li tawa weka la, soweli lili Penjamin li tawa lon nasin–li tawa noka, li tawa noka–li wile tawa kulupu pi soweli sama ona. kulupu li lon ma pi kasi suli, li lon monsi pi ma kasi moku. ma kasi moku li ma pi jan Mekeke."
,"THAT wood was full of rabbit holes; and in the neatest sandiest hole of all, lived Benjamin's aunt and his cousins–Flopsy, Mopsy, Cotton-tail and Peter.","ma pi kasi suli la, lupa mute pi tomo soweli li lon. lupa pona pi ko pona mute la, soweli mama pi kulupu sama ona en soweli lili sama li lon. soweli lili li soweli Lawako, li soweli Sikeko, li soweli Monsiko, li soweli Pita.~~~~jan Ke Tami","ma pi kasi suli la, lupa mute pi tomo soweli li lon. lupa pona pi ko pona mute la, soweli mama pi kulupu sama ona en soweli lili sama li lon. soweli lili li soweli Lawako, li soweli Sikeko, li soweli Monsiko, li soweli Pita."
,"Old Mrs. Rabbit was a widow; she earned her living by knitting rabbit-wool mittens and muffetees (I once bought a pair at a bazaar). She also sold herbs, and rosemary tea, and rabbit-tobacco (which is what we call lavender).","soweli olin pi mama soweli ni li moli. mani la, ona li pali e len luka, li esun e ni. (tenpo wan la, mi esun e len ni.) sama la, ona li esun e kasi pi namako moku, e kasi pi telo seli, e namako pi kon moku seli. (jan la, namako ni li kon moku ala, li pona tawa nena taso, li laso loje.)~~~~jan Ke Tami","soweli olin pi mama soweli ni li moli. mani la, ona li pali e len luka, li esun e ni. (tenpo wan la, mi esun e len ni.) sama la, ona li esun e kasi pi namako moku, e kasi pi telo seli, e namako pi kon moku seli. (jan la, namako ni li kon moku ala, li pona tawa nena taso, li laso loje.)"
,"LITTLE Benjamin did not very much want to see his Aunt.","soweli lili Penjamin li tawa kulupu, taso mama kulupu la, wile ona li wawa ala.~~~~jan Ke Tami","soweli lili Penjamin li tawa kulupu, taso mama kulupu la, wile ona li wawa ala."
,"He came round the back of the fir-tree, and nearly tumbled upon the top of his Cousin Peter.","ona li tawa poka ante pi kasi suli wan la, soweli sama ona Pita li kama lon noka ona.~~~~jan Ke Tami","ona li tawa poka ante pi kasi suli wan la, soweli sama ona Pita li kama lon noka ona."
,"PETER was sitting by himself. He looked poorly, and was dressed in a red cotton pocket-handkerchief.","soweli Pita li anpa, li wan taso. lukin la, ona li pilin ike, li jo awen e len loje luka suli taso.~~~~jan Ke Tami","soweli Pita li anpa, li wan taso. lukin la, ona li pilin ike, li jo awen e len loje luka suli taso."
,"Peter,–said little Benjamin, in a whisper–""who has got your clothes?""","soweli lili Penjamin li wile sona, li kepeken kalama lili: ""soweli Pita o, len laso sina li lon seme?""~~~~jan Ke Tami","soweli lili Penjamin li wile sona, li kepeken kalama lili: ""soweli Pita o, len laso sina li lon seme?"""
,"PETER replied–""The scarecrow in Mr. McGregor's garden,"" and described how he had been chased about the garden, and had dropped his shoes and coat.","soweli Pita li toki: ""ona li lon ilo pi sama jan lon ma pi kasi moku lon ma pi jan Mekeke."" ona li toki e tenpo pini: jan Mekeke li alasa e ona la, ona li kama weka tan ma pi kasi moku, li weka e len ona.~~~~jan Ke Tami","soweli Pita li toki: ""ona li lon ilo pi sama jan lon ma pi kasi moku lon ma pi jan Mekeke."" ona li toki e tenpo pini: jan Mekeke li alasa e ona la, ona li kama weka tan ma pi kasi moku, li weka e len ona."
,"Little Benjamin sat down beside his cousin, and assured him that Mr. McGregor had gone out in a gig, and Mrs. McGregor also; and certainly for the day, because she was wearing her best bonnet.","soweli lili Penjamin li kama anpa lon poka pi soweli sama ona, li pana e sona: jan Mekeke en meli ona kin li kama weka lon tenpo pini lili, li awen weka lon ale pi tenpo suno tan ni: jan meli Mekeke li jo e len lapa pona a.~~~~jan Ke Tami","soweli lili Penjamin li kama anpa lon poka pi soweli sama ona, li pana e sona: jan Mekeke en meli ona kin li kama weka lon tenpo pini lili, li awen weka lon ale pi tenpo suno tan ni: jan meli Mekeke li jo e len lapa pona a."
,"PETER said he hoped that it would rain.","toki la, soweli Pita li wile e telo tan sewi.~~~~jan Ke Tami","toki la, soweli Pita li wile e telo tan sewi."
