﻿﻿﻿﻿Translation,original,final,"jan Ke Tami"
Title,"THE TALE OF MRS. TIGGY-WINKLE",
Author/copyright,"BEATRIX POTTER (public domain)",
Link,https://en.wikisource.org/wiki/The_Tale_of_Mrs._Tiggy-Winkle,
"CW notes",,
"Translation notes","This will be a block-by-block translation",
"Text notes",,
randomized,no,
Predefine,"Lucy (human)","jan lili Lusi~~~~jan Ke Tami","jan lili Lusi"
Predefine,"Tabby Kitten (cat)","soweli Lenlinja~~~~jan Ke Tami","soweli Lenlinja"
Predefine,"Sally Henny-penny (hen)","waso Meliweli~~~~jan Ke Tami","waso Meliweli"
Predefine,"Cock Robin (bird)","waso Lojekin~~~~jan Ke Tami","waso Lojekin"
Predefine,"Little-town (farm)","tomo Lilima~~~~jan Ke Tami","tomo Lilima"
Predefine,"Mrs. Tiggy-winkle (hedgehog)","soweli Kikijete~~~~jan Ke Tami","soweli Kikijete"
Predefine,"Jenny Wren","waso Suwili~~~~jan Ke Tami","waso Suwili"
Predefine,"Mrs. Rabbit (rabbit)","soweli mama pi kute suli~~~~jan Ke Tami","soweli mama pi kute suli"
Predefine,"Tom Titmouse (mouse)","waso Sowelili~~~~jan Ke Tami","waso Sowelili"
Predefine,"Skelghyl (place)","ma Nenakiwen~~~~jan Ke Tami","ma Nenakiwen"
Predefine,"Gatesgarth (place)","ma Lupama~~~~jan Ke Tami","ma Lupama"
Predefine,"Squirrel Nutkin (squirrel)","soweli Kilikin~~~~jan Ke Tami","soweli Kilikin"
Predefine,"Peter Rabbit (rabbit)","soweli Pita~~~~jan Ke Tami","soweli Pita"
Predefine,"Cat Bells (hill)","nena Pokimu~~~~jan Ke Tami","nena Pokimu"
"Text start","THE TALE OF MRS. TIGGY-WINKLE","meli Kikijete~~~~jan Ke Tami","meli Kikijete"
,"ONCE upon a time there was a little girl called Lucie, who lived at a farm called Little-town. She was a good little girl—only she was always losing her pocket-handkerchiefs!","tenpo pini wan la, jan lili li lon. nimi ona li jan Lusi. ona li lon tomo Lilima lon ma. ona li jan pona—a, taso ona li awen weka e len pona ona pi weka jaki!~~~~jan Ke Tami","tenpo pini wan la, jan lili li lon. nimi ona li jan Lusi. ona li lon tomo Lilima lon ma. ona li jan pona—a, taso ona li awen weka e len pona ona pi weka jaki!"
,"One day little Lucie came into the farm-yard crying—oh, she did cry so! ""I've lost my pocket-handkin! Three handkins and a pinny! Have you seen them, Tabby Kitten?""","tenpo suno wan la, jan lili Lusi li kama lon ma lon poka tomo, li mu ike pi pilin ike—a mu ike ona li mute. ""mi weka e len pona mi! ni li kama len weka tu wan a! soweli Lenlinja o, sina lukin ala lukin e len mi?""~~~~jan Ke Tami","tenpo suno wan la, jan lili Lusi li kama lon ma lon poka tomo, li mu ike pi pilin ike—a mu ike ona li mute. ""mi weka e len pona mi! ni li kama len weka tu wan a! soweli Lenlinja o, sina lukin ala lukin e len mi?"""
,"THE Kitten went on washing her white paws; so Lucie asked a speckled hen—","soweli li awen uta e noka walo ona; ni la, jan Lusi li toki tawa waso tomo—~~~~jan Ke Tami","soweli li awen uta e noka walo ona; ni la, jan Lusi li toki tawa waso tomo—"
,"Sally Henny-penny, have you found three pocket-handkins?","waso Meliweli o, sina lukin ala lukin e len mi tu wan?~~~~jan Ke Tami","waso Meliweli o, sina lukin ala lukin e len mi tu wan?"
,"But the speckled hen ran into a barn, clucking—","taso waso li tawa tomo lili, li mu—~~~~jan Ke Tami","taso waso li tawa tomo lili, li mu—"
,"I go barefoot, barefoot, barefoot!","mi tawa kepeken len noka ala, kepeken len noka ala, kepeken len noka ala!~~~~jan Ke Tami","mi tawa kepeken len noka ala, kepeken len noka ala, kepeken len noka ala!"
,"AND then Lucie asked Cock Robin sitting on a twig.","ni la, jan Lusi li toki tawa waso Lojekin. ona li lon kasi.~~~~jan Ke Tami","ni la, jan Lusi li toki tawa waso Lojekin. ona li lon kasi."
,"Cock Robin looked sideways at Lucie with his bright black eye, and he flew over a stile and away.","waso Lojekin li poka e lawa ona, li lukin e jan Lusi kepeken lukin pimeja suno ona. ona li tawa kon lon sewi pi palisa sinpin, li tawa weka.~~~~jan Ke Tami","waso Lojekin li poka e lawa ona, li lukin e jan Lusi kepeken lukin pimeja suno ona. ona li tawa kon lon sewi pi palisa sinpin, li tawa weka."
,"Lucie climbed upon the stile and looked up at the hill behind Little-town—a hill that goes up—up—into the clouds as though it had no top!","jan Lusi li tawa lon palisa sinpin, li lukin e nena lon monsi pi tomo Lilima—nena li sewi, li sewi, li sewi tawa walo ko kon sewi!~~~~jan Ke Tami","jan Lusi li tawa lon palisa sinpin, li lukin e nena lon monsi pi tomo Lilima—nena li sewi, li sewi, li sewi tawa walo ko kon sewi!"
,"And a great way up the hillside she thought she saw some white things spread upon the grass.","ona li tawa lon nena, li kama sewi la, ona li pilin e ni; ona li kama lukin e ijo walo lon ma pi laso kasi.~~~~jan Ke Tami","ona li tawa lon nena, li kama sewi la, ona li pilin e ni; ona li kama lukin e ijo walo lon ma pi laso kasi."
,"LUCIE scrambled up the hill as fast as her short legs would carry her; she ran along a steep path-way—up and up—until Little-town was right away down below—she could have dropped a pebble down the chimney!","jan Lusi li tawa wawa lon nena, li tawa tan wawa ale pi noka ona; ona li tawa lon nasin pi sewi wawa, li tawa sewi, li tawa sewi la, tomo Lilima li kama lon anpa ona. ona li wile la, ona li ken pana e kiwen tawa lupa pi sewi tomo!~~~~jan Ke Tami","jan Lusi li tawa wawa lon nena, li tawa tan wawa ale pi noka ona; ona li tawa lon nasin pi sewi wawa, li tawa sewi, li tawa sewi la, tomo Lilima li kama lon anpa ona. ona li wile la, ona li ken pana e kiwen tawa lupa pi sewi tomo!"
,"PRESENTLY she came to a spring, bubbling out from the hillside.","tenpo ni la, ona li kama lon open telo.~~~~jan Ke Tami","tenpo ni la, ona li kama lon open telo."
,"Some one had stood a tin can upon a stone to catch the water—but the water was already running over, for the can was no bigger than an egg-cup! And where the sand upon the path was wet—there were footmarks of a very small person.","jan li pana e poki lon kiwen la, poki li ken poki e telo—taso telo mute mute li kama la, telo li ken ala awen lon insa tan ni: poki li lili mute a! poka ona la, ma li kama telo—lupa lili li lon ma tan noka jan pi lili mute.~~~~jan Ke Tami","jan li pana e poki lon kiwen la, poki li ken poki e telo—taso telo mute mute li kama la, telo li ken ala awen lon insa tan ni: poki li lili mute a! poka ona la, ma li kama telo—lupa lili li lon ma tan noka jan pi lili mute."
,"Lucie ran on, and on.","jan Lusi li tawa, li tawa, li awen tawa.~~~~jan Ke Tami","jan Lusi li tawa, li tawa, li awen tawa."
,"THE path ended under a big rock. The grass was short and green, and there were clothes-props cut from bracken stems, with lines of plaited rushes, and a heap of tiny clothes-pins—but no pocket-handkerchiefs!","nasin li kama pini lon anpa pi kiwen suli. ma ni la, kasi lili li lili pona, li laso. linja kasi awen li lon, li ilo, li ken e awen len. palisa awen lili ilo kin li lon, li ken e awen len. taso len ala li lon tenpo ni!~~~~jan Ke Tami","nasin li kama pini lon anpa pi kiwen suli. ma ni la, kasi lili li lili pona, li laso. linja kasi awen li lon, li ilo, li ken e awen len. palisa awen lili ilo kin li lon, li ken e awen len. taso len ala li lon tenpo ni!"
,"But there was something else—a door! straight into the hill; and inside it some one was singing—","a taso ijo ante li lon—lupa li lon! insa ona li tawa insa nena; insa ona la, kalama li kama, li musi—~~~~jan Ke Tami","a taso ijo ante li lon—lupa li lon! insa ona li tawa insa nena; insa ona la, kalama li kama, li musi—"
,"Lily-white and clean, oh! With little frills between, oh! ⁠Smooth and hot—red rusty spot Never here be seen, oh!","walo pona li jaki ala a! namako lili pona li lon ona a! li kama supa, li kama seli—jaki loje lili ni li lon ala a!~~~~jan Ke Tami","walo pona li jaki ala a! namako lili pona li lon ona a! li kama supa, li kama seli—jaki loje lili ni li lon ala a!"
,"LUCIE knocked—once—twice, and interrupted the song. A little frightened voice called out ""Who's that?""","jan Lusi li luka kalama e lupa lon tenpo wan—lon tenpo tu—li pini e musi kalama. kalama lili li kama, li lili tan pilin anpa, li wile sona: ""seme li lon?""~~~~jan Ke Tami","jan Lusi li luka kalama e lupa lon tenpo wan—lon tenpo tu—li pini e musi kalama. kalama lili li kama, li lili tan pilin anpa, li wile sona: ""seme li lon?"""
