Translation,original,final,"jan Juli"
Title,"The Jests of Hierocles and Philagrius",
Author/copyright,"Hierocles , Philagrius, Rowfant Club (Cleveland, Ohio) translated by Charles Clinch Bubb",
Link,https://archive.org/details/jestshieroclesa00ohiogoog,
"CW notes","Unfortunately, the jokes include content that are not ok feel very, very, very free to translate bad concepts out of existence. Some of these things include: slavery, mentions of murder and patricide and infanticide, sex, implied incest, corporal punishment, suicide and more",
"Translation notes","This project will result in a joke-by-joke translation of as many jokes found in the book as possible and does not include the preface and appendix. Not all jokes may be funny to you (or to most people in the 21st century) others may not be easily translatable. You may add as many or as few translations as you like and return later to add more or even change your translation.",
"Text notes","""The Jests of Hierocles and Philagrius newly translated from the Greek by Charles Clinch Bubb"" is a collection of jokes from ancient Greek. Why translate this, and not any other joke collection? Because there are very few joke collection in the public domain. Jokes as such may technically be in the public domain in some way, but redistributing a recent joke collection and hosting it on a server is more tricky. Consider this the probably most conservatively safe option in the eye of the law.",
randomized,yes,
Predefine,"pedant (person)",,"jan pi lawa mute"
Predefine,"physician (person)",,"jan pi pona sijelo"
Predefine,"miser (person)",,"jan pi mani awen"
Predefine,"Abdera (city)",,"ma tomo Apera"
Predefine,"Sidonia (city)",,"ma tomo Sitonja"
Predefine,"witty fellow ",,"jan pi sona musi"
Predefine,"shrewd fellow",,"jan sona"
Predefine,"Cumae (city)",,"ma tomo Kume"
Predefine,"peevish person",,"jan pi pana ike"
Predefine,"cross-grained fellow",,"jan ike pi pali ike"
Predefine,"awkward/unskilled person",,"jan nasa"
Predefine,pugilist,,"jan pi utala luka"
Predefine,"timid person",,"jan pi toki lili"
"Text start","A pedant ordered a silversmith to make a lamp and when the latter enquired how large he should make it, he replied, ""Large enough for eight men."" ",,
,"A pedant whilst swimming almost choked to death. He made an oath that he would not go into the water again until he had first learned to swim well.",,
,"A certain person coming to a pedant who was a physician said, ""Doctor, when I awake from sleep I have a dizziness for half an hour and then I recover."" The physician replied, ""Get up after the half hour."" ",,
,"A certain person asked a pedant, who had a horse for sale, if it had thrown once (i.e. shed its first teeth, or was mature). When the latter answered that it had thrown twice, he asked, ""How is that?"" The pedant replied, ""Once when he threw me and once when he threw my father."" ",,
,"A certain person meeting a pedant said,""Master Pedant, I dreamed I met you.""""By the gods,"" he reph'ed, ""I was so busy I did not notice it."" ",,
,"A pedant seeing his family physician ap-proaching, hid from him. Upon being ask-ed by one of his companions why he didthis, he replied, ""I have not been ill forsuch a long time that I am ashamed to meet him."" ",,
,"A physician gave orders to a pedant who had an operation on his throat that he should not talk. He directed his servant to welcome visitors instead of himself. Then he said to each one, ""You will not take this as an insult if my servant greets you instead of myself, for the doctor has forbidden me to talk.""",,
,"A pedant desiring to capture a mouse that was gnawing his books used to sit in the dark holding a piece of meat in his mouth. ",,
,"A pedant desiring to teach his ass to go without eating did not give him any provender. When the ass died from hunger he exclaimed, ""I have suffered a great loss, for when he had learned not to eat he died."" ",,
,"A pedant who had a horse for sale was asked if it were not timid. He replied, ""No, by my father's salvation, for he has only stood in the stable."" ",,
,"A pedant desiring to see how he looked when asleep stood with closed eyes before his mirror. ",,
,"A friend said to a pedant who was going on a journey, ""I wish you to purchase for me two slave boys of fifteen years each."" He replied, ""If I do not find such, I shall buy for you one of thirty years."" ",,
,"Two pedants were complaining to each other because their fathers were living. One of them asked, ""What do you wish ? Shall each one strangle his own father?"" ""By no means,"" replied the other, ""lest we be called parricides. But if you are willing, you shall slay my father, and I will kill yours."" ",,
,"A pedant having bought a house and looking out of the window asked the passersby if the house were becoming to him. ",,
,"A pedant dreamed that he had stepped on a nail and bound up his foot. A friend asking the reason and upon learning it, said, ""We are justly called fools because we sleep with bare feet."" ",,
