Translation,original,final
Title,Tears of Steel,
Author/copyright,© copyright Blender Foundation | mango.blender.org,
Link,https://mango.blender.org/download/,
CW notes,"While the text, consisting entirely of the subtitles, is mostly harmless, the movie shows a brain, killer robots and guns",
Translation notes,This will be a line-by-line translation of the subtitles of the movie,
Text notes,"Sintel is a movie created as a result of the Blender open movie project ""Mango"" and is released under a Creative Commons Attribution 3.0 license.",
randomized,no,
Predefine,Thom (person),
Predefine,Celia (person),
Predefine,Barley (person),
Predefine,Captain (person),
Predefine,Djenghis (person),
Predefine,Tech head (person),
Text start,"[Celia] You're a jerk, Thom.",
,"[Thom] Look Celia, we have to follow our passions;",
,"...you have your robotics, and I",
,just want to be awesome in space.,
,[Celia] Why don't you just admit that,
,you're freaked out by my robot hand?,
,[Thom] I'm not freaked out by- it's...,
,...alright! Fine!,
,I'm freaked out! I have nightmares,
,that I'm being chased...,
,...by these giant robotic claws of death...,
,[writing] Fourty years later,
,"[Celia] Whatever, Thom. We're done.",
,[Tech head] Robot's memory synced and locked!,
,[Captain] This is pretty freaky.,
,[Barley] Shouldn't you be down there?,
,[Thom] I heard you guys talking last night.,
,"It's not my fault, you know.",
,[Captain] Are you ready?,
,"Of course you're ready, you're a rockstar.",
,"How's it looking, Barley?",
,[Barley] We should have about ten minutes...,
,[Captain] Well that's perfect.,
,We're on in one! All systems go!,
,"Yeah you, go! ",
,Go! Move your asses! Go go go! ,
,"I love it! Come on, go!",
,That's nice. ,
,Nothing to worry about.,
,Thom.,
,There she is.,
,Now.,
,You love her.,
,She is your passion! ,
,Be tender to her. ,
,Be honest! Eh- be tender.,
,Remind her what love is.,
,"...and, action!",
,[Tech head] Memory overwrite in progress!,
,"[Celia] You're a jerk, Thom!",
,[Tech head] Ohp- Sorry! Sorry.,
,[Thom] Look Celia.,
,We have to follow our passions. ,
,You have your robotics...,
,...and I just want to be awesome in space.,
,"[Barley] Okay, they're coming. Two minutes left!",
,"[Captain] Speed it up, Thom! ",
,Vivacissimo!,
,[Celia] Why don't you just admit that you're ,
,freaked out by my robot hand?,
,"[Thom] Listen Celia, I was young...",
,...and a dick. ,
,But that's no reason to,
,destroy the world.,
,[Djenghis] Why does he do this?,
,[Captain] We already tried that one!,
,[Djenghis] Abort!,
,[Captain] Cut!,
,[Tech head] Whoaaa!,
,Whoaaa!,
,Nooooo!,
,[Celia] You broke my heart.,
,[Thom] I know.,
,[Celia] You forgot me on earth.,
,[Thom] I know.,
,[Celia] I should just crush you.,
,[Thom] I'm-,
,I'm sorry.,
,[Captain] Good ad-lib.,
,[Tech head] Not my fault!,
,This time.,
,[Captain] Quiet on set!,
,[Barley] We're out of time!,
,[Barley] Come on!,
,RAAAAAAAAH!,
,"[Tech head] Memory overwrite, 90%.",
,[Djenghis] Captain! We have to abort!,
,"[Thom] The world's changed, Celia...",
,...maybe we can too.,
,[Tech head] Memory overwrite complete!,
,[Captain] You know.,
,There's a lesson to be learned from this.,
,[Djenghis] Could'a gone worse.,
